Original Name,Random Name ,,Animal,Genotype,Sex,Condition,Quality
TILESCANS_240815_Ctnnd2_ODP_juvenile_set1_lif - 240815_Ctnnd2_set1_AC0303_KO_P28_F_MD_section004_contra_594-Arc_20X_Merged.tif (red)_.tif,20703-3519-6308.tif,,AC0303,KO,F,MD,
TILESCANS_240815_Ctnnd2_ODP_juvenile_set1_lif - 240815_Ctnnd2_set1_AC0303_KO_P28_F_MD_section005_contra_594-Arc_20X_Merged.tif (red)_.tif,19928-7487-20467.tif,,AC0303,KO,F,MD,
TILESCANS_240815_Ctnnd2_ODP_juvenile_set1_lif - 240815_Ctnnd2_set1_AC0303_KO_P28_F_MD_section006_contra_594-Arc_20X_Merged.tif (red)_.tif,19280-31807-10254.tif,,AC0303,KO,F,MD,
TILESCANS_240815_Ctnnd2_ODP_juvenile_set1_lif - 240815_Ctnnd2_set1_AC0304_HET_P28_M_NR_section002_contra_594-Arc_20X_Merged.tif (red)_.tif,12730-21151-18085.tif,,AC0304,HET,M,NR,
TILESCANS_240815_Ctnnd2_ODP_juvenile_set1_lif - 240815_Ctnnd2_set1_AC0304_HET_P28_M_NR_section003_contra_594-Arc_20X_Merged.tif (red)_.tif,29989-24025-19285.tif,,AC0304,HET,M,NR,
TILESCANS_240815_Ctnnd2_ODP_juvenile_set1_lif - 240815_Ctnnd2_set1_AC0304_HET_P28_M_NR_section004_contra_594-Arc_20X_Merged.tif (red)_.tif,16270-21129-6548.tif,,AC0304,HET,M,NR,
TILESCANS_240815_Ctnnd2_ODP_juvenile_set1_lif - 240815_Ctnnd2_set1_AC0304_HET_P28_M_NR_section005_contra_594-Arc_20X_Merged.tif (red)_.tif,6066-27145-31130.tif,,AC0304,HET,M,NR,
TILESCANS_240815_Ctnnd2_ODP_juvenile_set1_lif - 240815_Ctnnd2_set1_AC0304_HET_P28_M_NR_section006_contra_594-Arc_20X_Merged.tif (red)_.tif,12565-10824-10549.tif,,AC0304,HET,M,NR,
TILESCANS_240815_Ctnnd2_ODP_juvenile_set1_lif - 240815_Ctnnd2_set1_AC0305_HET_P28_F_MD_section002_contra_594-Arc_20X_Merged.tif (red)_.tif,20622-786-29451.tif,,AC0305,HET,M,MD,
TILESCANS_240815_Ctnnd2_ODP_juvenile_set1_lif - 240815_Ctnnd2_set1_AC0305_HET_P28_F_MD_section003_contra_594-Arc_20X_Merged.tif (red)_.tif,18692-24606-28587.tif,,AC0305,HET,M,MD,
TILESCANS_240815_Ctnnd2_ODP_juvenile_set1_lif - 240815_Ctnnd2_set1_AC0305_HET_P28_F_MD_section004_contra_594-Arc_20X_Merged.tif (red)_.tif,8871-1087-20863.tif,,AC0305,HET,M,MD,
TILESCANS_240815_Ctnnd2_ODP_juvenile_set1_lif - 240815_Ctnnd2_set1_AC0305_HET_P28_F_MD_section005_contra_594-Arc_20X_Merged.tif (red)_.tif,11921-14358-11211.tif,,AC0305,HET,M,MD,
TILESCANS_240815_Ctnnd2_ODP_juvenile_set1_lif - 240815_Ctnnd2_set1_AC0305_HET_P28_F_MD_section006_contra_594-Arc_20X_Merged.tif (red)_.tif,2196-20589-3185.tif,,AC0305,HET,M,MD,
TILESCANS_240815_Ctnnd2_ODP_juvenile_set1_lif - 240815_Ctnnd2_set1_AC0306_HET_P28_M_MD_section003_contra_594-Arc_20X_Merged.tif (red)_.tif,21290-11874-28544.tif,,AC0306,HET,M,MD,
TILESCANS_240815_Ctnnd2_ODP_juvenile_set1_lif - 240815_Ctnnd2_set1_AC0306_HET_P28_M_MD_section004_contra_594-Arc_20X_Merged.tif (red)_.tif,20742-9796-16324.tif,,AC0306,HET,M,MD,
TILESCANS_240815_Ctnnd2_ODP_juvenile_set1_lif - 240815_Ctnnd2_set1_AC0306_HET_P28_M_MD_section005_contra_594-Arc_20X_Merged.tif (red)_.tif,21382-13228-19560.tif,,AC0306,HET,M,MD,
TILESCANS_240815_Ctnnd2_ODP_juvenile_set1_lif - 240815_Ctnnd2_set1_AC0306_HET_P28_M_MD_section006_contra_594-Arc_20X_Merged.tif (red)_.tif,29792-3297-7507.tif,,AC0306,HET,M,MD,
TILESCANS_240815_Ctnnd2_ODP_juvenile_set1_lif - 240815_Ctnnd2_set1_AC0306_HET_P28_M_MD_section007_contra_594-Arc_20X_Merged.tif (red)_.tif,31886-4569-19187.tif,,AC0306,HET,M,MD,
