Original Name,Random Name ,,Animal,Genotype,Sex,Condition,Quality
TILESCANS_240815_Ctnnd2_ODP_juvenile_set1_lif - 240815_Ctnnd2_set1_AC0301_KO_P28_F_NR_section001_contra_594-Arc_20X_Merged.tif (red)_.tif,2679-16524-12000.tif,,AC0301,KO,F,NR,
TILESCANS_240815_Ctnnd2_ODP_juvenile_set1_lif - 240815_Ctnnd2_set1_AC0301_KO_P28_F_NR_section002_contra_594-Arc_20X_Merged.tif (red)_.tif,5913-22022-16101.tif,,AC0301,KO,F,NR,
TILESCANS_240815_Ctnnd2_ODP_juvenile_set1_lif - 240815_Ctnnd2_set1_AC0301_KO_P28_F_NR_section003_contra_594-Arc_20X_Merged.tif (red)_.tif,11781-21347-31550.tif,,AC0301,KO,F,NR,
TILESCANS_240815_Ctnnd2_ODP_juvenile_set1_lif - 240815_Ctnnd2_set1_AC0301_KO_P28_F_NR_section004_contra_594-Arc_20X_Merged.tif (red)_.tif,11068-5695-20268.tif,,AC0301,KO,F,NR,
TILESCANS_240815_Ctnnd2_ODP_juvenile_set1_lif - 240815_Ctnnd2_set1_AC0301_KO_P28_F_NR_section005_contra_594-Arc_20X_Merged.tif (red)_.tif,13747-4260-19695.tif,,AC0301,KO,F,NR,
TILESCANS_240815_Ctnnd2_ODP_juvenile_set1_lif - 240815_Ctnnd2_set1_AC0301_KO_P28_F_NR_section006_contra_594-Arc_20X_Merged.tif (red)_.tif,1705-19420-10892.tif,,AC0301,KO,F,NR,
TILESCANS_240815_Ctnnd2_ODP_juvenile_set1_lif - 240815_Ctnnd2_set1_AC0302_KO_P28_M_MD_section001_contra_594-Arc_20X_Merged.tif (red)_.tif,13140-23398-18721.tif,,AC0302,KO,M,MD,
TILESCANS_240815_Ctnnd2_ODP_juvenile_set1_lif - 240815_Ctnnd2_set1_AC0302_KO_P28_M_MD_section002_contra_594-Arc_20X_Merged.tif (red)_.tif,1670-20805-25646.tif,,AC0302,KO,M,MD,
TILESCANS_240815_Ctnnd2_ODP_juvenile_set1_lif - 240815_Ctnnd2_set1_AC0302_KO_P28_M_MD_section003_contra_594-Arc_20X_Merged.tif (red)_.tif,7733-29518-6182.tif,,AC0302,KO,M,MD,
TILESCANS_240815_Ctnnd2_ODP_juvenile_set1_lif - 240815_Ctnnd2_set1_AC0302_KO_P28_M_MD_section004_contra_594-Arc_20X_Merged.tif (red)_.tif,29738-7078-24839.tif,,AC0302,KO,M,MD,
TILESCANS_240815_Ctnnd2_ODP_juvenile_set1_lif - 240815_Ctnnd2_set1_AC0302_KO_P28_M_MD_section006_contra_594-Arc_20X_Merged.tif (red)_.tif,21013-7500-31411.tif,,AC0302,KO,M,MD,
TILESCANS_240815_Ctnnd2_ODP_juvenile_set1_lif - 240815_Ctnnd2_set1_AC0303_KO_P28_F_MD_section001_contra_594-Arc_20X_Merged.tif (red)_.tif,5831-4452-12783.tif,,AC0303,KO,F,MD,
TILESCANS_240815_Ctnnd2_ODP_juvenile_set1_lif - 240815_Ctnnd2_set1_AC0303_KO_P28_F_MD_section002_contra_594-Arc_20X_Merged.tif (red)_.tif,26717-24918-13388.tif,,AC0303,KO,F,MD,
TILESCANS_240815_Ctnnd2_ODP_juvenile_set1_lif - 240815_Ctnnd2_set1_AC0303_KO_P28_F_MD_section003_contra_594-Arc_20X_Merged.tif (red)_.tif,2487-18113-7987.tif,,AC0303,KO,F,MD,
